Order_ID,Order_Date,Region,Product,Quantity,Unit_Price,Sales_Amount,Payment_Method
ORD0001,2025-01-26,East,Tablet,8,25,200,Cash
ORD0002,2025-06-10,East,Phone,11,350,3850,Cash
ORD0003,2025-04-18,North,Monitor,20,800,16000,Card
ORD0004,2025-05-15,East,Mouse,1,25,25,Cash
ORD0005,2025-11-18,East,Mouse,9,120,1080,UPI
ORD0006,2025-11-11,East,Monitor,19,75,1425,UPI
ORD0007,2025-09-26,West,Monitor,17,800,13600,Bank Transfer
ORD0008,2025-08-11,East,Phone,4,350,1400,UPI
ORD0009,2025-05-03,East,Mouse,5,25,125,UPI
ORD0010,2025-06-22,East,Tablet,17,25,425,Card
ORD0011,2025-01-12,North,Monitor,11,40,440,Bank Transfer
ORD0012,2025-07-30,West,Keyboard,3,40,120,Cash
ORD0013,2025-04-25,South,Tablet,2,75,150,Cash
ORD0014,2025-11-20,West,Mouse,8,120,960,Card
ORD0015,2025-03-22,North,Phone,9,120,1080,Bank Transfer
ORD0016,2025-02-07,West,Phone,10,75,750,Cash
ORD0017,2025-04-09,West,Laptop,11,40,440,Cash
ORD0018,2025-03-16,East,Laptop,16,120,1920,UPI
ORD0019,2025-04-09,North,Tablet,15,800,12000,Cash
ORD0020,2025-05-02,East,Tablet,16,350,5600,UPI
ORD0021,2025-11-18,North,Monitor,18,800,14400,UPI
ORD0022,2025-07-08,West,Tablet,7,40,280,Cash
ORD0023,2025-05-06,West,Tablet,5,800,4000,UPI
ORD0024,2025-02-17,West,Mouse,12,75,900,Cash
ORD0025,2025-05-09,North,Keyboard,9,40,360,Bank Transfer
ORD0026,2025-10-17,West,Phone,13,25,325,Cash
ORD0027,2025-08-13,North,Keyboard,9,350,3150,Card
ORD0028,2025-08-08,East,Keyboard,7,350,2450,Cash
ORD0029,2025-09-25,North,Monitor,20,350,7000,Card
ORD0030,2025-05-26,North,Tablet,19,40,760,Bank Transfer
ORD0031,2025-12-28,West,Laptop,19,40,760,Bank Transfer
ORD0032,2025-09-07,West,Keyboard,16,800,12800,Bank Transfer
ORD0033,2025-12-03,East,Monitor,18,75,1350,UPI
ORD0034,2025-03-07,North,Tablet,17,800,13600,UPI
ORD0035,2025-06-23,West,Tablet,13,120,1560,Bank Transfer
ORD0036,2025-01-15,East,Keyboard,7,800,5600,Card
ORD0037,2025-11-20,West,Laptop,17,800,13600,Card
ORD0038,2025-02-01,East,Mouse,2,800,1600,Bank Transfer
ORD0039,2025-06-03,South,Mouse,18,75,1350,Card
ORD0040,2025-11-05,South,Mouse,16,25,400,Card
ORD0041,2025-10-01,South,Mouse,15,25,375,UPI
ORD0042,2025-12-19,North,Laptop,17,75,1275,Cash
ORD0043,2025-07-09,West,Phone,2,350,700,Cash
ORD0044,2025-05-07,East,Keyboard,14,40,560,Bank Transfer
ORD0045,2025-04-26,North,Mouse,13,120,1560,UPI
ORD0046,2025-09-27,South,Phone,9,75,675,Card
ORD0047,2025-02-24,South,Mouse,3,800,2400,Bank Transfer
ORD0048,2025-08-31,West,Mouse,7,800,5600,UPI
ORD0049,2025-06-08,South,Phone,4,350,1400,UPI
ORD0050,2025-08-23,West,Tablet,19,800,15200,UPI
ORD0051,2025-04-07,West,Monitor,11,800,8800,Bank Transfer
ORD0052,2025-12-12,South,Phone,19,350,6650,Card
ORD0053,2025-11-10,North,Mouse,4,350,1400,Bank Transfer
ORD0054,2025-05-06,East,Phone,6,25,150,Card
ORD0055,2025-11-30,North,Laptop,4,75,300,Cash
ORD0056,2025-04-17,East,Tablet,5,120,600,Card
ORD0057,2025-08-19,South,Mouse,1,800,800,Bank Transfer
ORD0058,2025-03-26,South,Monitor,15,40,600,Bank Transfer
ORD0059,2025-03-16,South,Phone,7,800,5600,Cash
ORD0060,2025-06-11,East,Laptop,16,40,640,UPI
ORD0061,2025-07-05,South,Tablet,7,800,5600,Card
ORD0062,2025-06-30,North,Mouse,5,75,375,Card
ORD0063,2025-05-21,West,Monitor,2,350,700,Card
ORD0064,2025-05-06,West,Mouse,14,25,350,Cash
ORD0065,2025-11-18,West,Laptop,17,800,13600,Card
ORD0066,2025-08-05,West,Keyboard,12,40,480,UPI
ORD0067,2025-10-28,West,Keyboard,5,350,1750,Cash
ORD0068,2025-02-23,East,Tablet,5,25,125,Cash
ORD0069,2025-02-05,East,Mouse,1,120,120,Card
ORD0070,2025-01-20,South,Keyboard,12,25,300,UPI
ORD0071,2025-08-11,South,Monitor,2,75,150,Bank Transfer
ORD0072,2025-04-12,North,Mouse,3,40,120,UPI
ORD0073,2025-09-09,East,Keyboard,5,350,1750,UPI
ORD0074,2025-06-05,West,Monitor,14,800,11200,Card
ORD0075,2025-12-06,West,Mouse,6,25,150,Cash
ORD0076,2025-04-13,North,Keyboard,18,800,14400,UPI
ORD0077,2025-10-29,South,Mouse,7,25,175,Card
ORD0078,2025-04-11,East,Mouse,9,25,225,Card
ORD0079,2025-06-21,East,Monitor,6,350,2100,Cash
ORD0080,2025-02-06,South,Laptop,17,350,5950,UPI
ORD0081,2025-03-29,North,Tablet,2,800,1600,UPI
ORD0082,2025-07-16,South,Tablet,18,800,14400,Bank Transfer
ORD0083,2025-03-21,South,Laptop,18,120,2160,UPI
ORD0084,2025-08-03,East,Mouse,8,120,960,Bank Transfer
ORD0085,2025-07-29,North,Mouse,17,40,680,Card
ORD0086,2025-11-28,West,Laptop,13,40,520,Cash
ORD0087,2025-07-16,West,Monitor,4,25,100,Cash
ORD0088,2025-02-04,North,Mouse,14,120,1680,Cash
ORD0089,2025-12-10,West,Phone,18,800,14400,UPI
ORD0090,2025-02-28,West,Laptop,1,800,800,Card
ORD0091,2025-06-27,North,Phone,20,25,500,Cash
ORD0092,2025-04-28,East,Keyboard,10,120,1200,Bank Transfer
ORD0093,2025-07-16,South,Phone,5,120,600,Card
ORD0094,2025-05-07,East,Monitor,20,350,7000,Cash
ORD0095,2025-03-29,West,Monitor,2,75,150,Card
ORD0096,2025-03-08,East,Mouse,16,40,640,Card
ORD0097,2025-12-08,West,Tablet,7,350,2450,Bank Transfer
ORD0098,2025-09-12,North,Phone,11,25,275,Card
ORD0099,2025-10-18,West,Mouse,10,120,1200,Card
ORD0100,2025-05-24,South,Tablet,3,75,225,UPI
ORD0101,2025-10-03,East,Phone,19,120,2280,Cash
ORD0102,2025-01-15,East,Mouse,8,120,960,Bank Transfer
ORD0103,2025-07-07,West,Laptop,9,120,1080,Card
ORD0104,2025-06-23,South,Monitor,15,40,600,UPI
ORD0105,2025-08-11,West,Phone,15,75,1125,Cash
ORD0106,2025-03-09,East,Keyboard,12,800,9600,UPI
ORD0107,2025-04-02,West,Keyboard,10,800,8000,Card
ORD0108,2025-06-07,South,Mouse,4,40,160,Bank Transfer
ORD0109,2025-11-03,West,Tablet,5,350,1750,Cash
ORD0110,2025-09-09,East,Monitor,18,75,1350,UPI
ORD0111,2025-11-07,West,Mouse,10,120,1200,UPI
ORD0112,2025-01-13,North,Mouse,8,350,2800,Card
ORD0113,2025-04-26,East,Tablet,10,40,400,Bank Transfer
ORD0114,2025-06-24,East,Mouse,20,40,800,UPI
ORD0115,2025-02-19,South,Tablet,15,350,5250,Bank Transfer
